GEO_ID,NAME,S1501_C01_003E
37001,Alamance County North Carolina,315934
37003,Alexander County North Carolina,4183
37005,Alleghany County North Carolina,1090
37007,Anson County North Carolina,149
37009,Ashe County North Carolina,933
37011,Avery County North Carolina,824
37013,Beaufort County North Carolina,591
37015,Bertie County North Carolina,1455
37017,Bladen County North Carolina,686
37019,Brunswick County North Carolina,884
37021,Buncombe County North Carolina,2971
37023,Burke County North Carolina,7528
37025,Cabarrus County North Carolina,2758
37027,Caldwell County North Carolina,6311
37029,Camden County North Carolina,2165
37031,Carteret County North Carolina,225
37033,Caswell County North Carolina,1613
37035,Catawba County North Carolina,692
37037,Chatham County North Carolina,4598
37039,Cherokee County North Carolina,1893
37041,Chowan County North Carolina,880
37043,Clay County North Carolina,176
37045,Cleveland County North Carolina,192
37047,Columbus County North Carolina,2780
37049,Craven County North Carolina,1949
37051,Cumberland County North Carolina,5762
37053,Currituck County North Carolina,16555
37055,Dare County North Carolina,768
37057,Davidson County North Carolina,886
37059,Davie County North Carolina,4579
37061,Duplin County North Carolina,1504
37063,Durham County North Carolina,1148
37065,Edgecombe County North Carolina,7163
37067,Forsyth County North Carolina,1804
37069,Franklin County North Carolina,11971
37071,Gaston County North Carolina,1642
37073,Gates County North Carolina,6843
37075,Graham County North Carolina,358
37077,Granville County North Carolina,194
37079,Greene County North Carolina,1602
37081,Guilford County North Carolina,751
37083,Halifax County North Carolina,14355
37085,Harnett County North Carolina,1938
37087,Haywood County North Carolina,3666
37089,Henderson County North Carolina,1498
37091,Hertford County North Carolina,2873
37093,Hoke County North Carolina,918
37095,Hyde County North Carolina,1731
37097,Iredell County North Carolina,60
37099,Jackson County North Carolina,5536
37101,Johnston County North Carolina,1129
37103,Jones County North Carolina,5590
37105,Lee County North Carolina,165
37107,Lenoir County North Carolina,1464
37109,Lincoln County North Carolina,1596
37111,McDowell County North Carolina,2276
37113,Macon County North Carolina,1188
37115,Madison County North Carolina,718
37117,Martin County North Carolina,710
37119,Mecklenburg County North Carolina,603
37121,Mitchell County North Carolina,24937
37123,Montgomery County North Carolina,262
37125,Moore County North Carolina,842
37127,Nash County North Carolina,1979
37129,New Hanover County North Carolina,2915
37131,Northampton County North Carolina,7841
37133,Onslow County North Carolina,538
37135,Orange County North Carolina,23258
37137,Pamlico County North Carolina,5394
37139,Pasquotank County North Carolina,371
37141,Pender County North Carolina,927
37143,Perquimans County North Carolina,1827
37145,Person County North Carolina,236
37147,Pitt County North Carolina,888
37149,Polk County North Carolina,7049
37151,Randolph County North Carolina,390
37153,Richmond County North Carolina,3942
37155,Robeson County North Carolina,1805
37157,Rockingham County North Carolina,4965
37159,Rowan County North Carolina,2374
37161,Rutherford County North Carolina,4546
37163,Sampson County North Carolina,1974
37165,Scotland County North Carolina,1734
37167,Stanly County North Carolina,1121
37169,Stokes County North Carolina,1796
37171,Surry County North Carolina,1502
37173,Swain County North Carolina,1947
37175,Transylvania County North Carolina,579
37177,Tyrrell County North Carolina,868
37179,Union County North Carolina,150
37181,Vance County North Carolina,7341
37183,Wake County North Carolina,1712
37185,Warren County North Carolina,26398
37187,Washington County North Carolina,581
37189,Watauga County North Carolina,528
37191,Wayne County North Carolina,1978
37193,Wilkes County North Carolina,3885
37195,Wilson County North Carolina,1455
37197,Yadkin County North Carolina,2508
37199,Yancey County North Carolina,1100
,,421